PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Rod Smith*,,@Atl,L 7-27,,0/0,0,0,0,,3,14,0,,4,15,0,6,,0,0,0,,6.9
Martellus Bennett*,,@Den,W 41-16,,0/0,0,0,0,,0,0,0,,3,38,0,3,,0,0,0,,6.8
Louis Murphy,,NYG,W 31-21,,0/0,0,0,0,,0,0,0,,2,48,0,2,,0,0,0,,6.8
Corey Davis,,Cin,W 24-20,,0/0,0,0,0,,0,0,0,,4,48,0,10,,0,1,0,,6.8
Jerick McKinnon,,@Wsh,W 38-30,,0/0,0,0,0,,10,32,0,,2,15,0,2,,0,0,0,,6.7
Leonard Fournette,,LAC,W 20-17,,0/0,0,0,0,,17,33,0,,2,13,0,4,,0,0,0,,6.6
C.J. Anderson,,NE,L 16-41,,0/0,0,0,0,,10,54,0,,1,1,0,1,,0,0,0,,6.5
Chad Hansen,,@TB,L 10-15,,0/0,0,0,0,,0,0,0,,3,33,0,4,,0,0,0,,6.3
Mohamed Sanu,,Dal,W 27-7,,0/0,0,0,0,,0,0,0,,3,29,0,5,,0,0,0,,5.9
Damien Williams*,,@Car,L 21-45,,0/0,0,0,0,,9,19,0,,2,20,0,3,,0,0,0,,5.9
Thomas Rawls,,@Ari,W 22-16,,0/0,0,0,0,,10,27,0,,2,12,0,2,,0,0,0,,5.9
Adam Shaheen*,,GB,L 16-23,,0/0,0,0,0,,0,0,0,,2,39,0,2,,0,0,0,,5.9
Cody Latimer*,,NE,L 16-41,,0/0,0,0,0,,0,0,0,,3,28,0,5,,0,0,0,,5.8
Sammie Coates,,@Det,L 24-38,,0/0,0,0,0,,0,0,0,,2,38,0,2,,0,0,0,,5.8
Taywan Taylor,,Cin,W 24-20,,0/0,0,0,0,,1,4,0,,2,34,0,3,,0,0,0,,5.8
Kyle Juszczyk,,NYG,W 31-21,,0/0,0,0,0,,1,0,0,,5,27,0,6,,0,1,0,,5.7
Ryan Grant,,Min,L 30-38,,0/0,0,0,0,,0,0,0,,3,25,0,3,,0,0,0,,5.5
Jordan Howard,,GB,L 16-23,,0/0,0,0,0,,15,54,0,,0,0,0,0,,0,0,0,,5.4
Alfred Morris,,@Atl,L 7-27,,0/0,0,0,0,,11,53,0,,0,0,0,0,,0,0,0,,5.3
Tavarres King*,,@SF,L 21-31,,0/0,0,0,0,,1,11,0,,2,22,0,4,,0,0,0,,5.3
Paul Richardson,,@Ari,W 22-16,,0/0,0,0,0,,0,0,0,,1,43,0,2,,0,0,0,,5.3
Derrick Henry,,Cin,W 24-20,,0/0,0,0,0,,11,52,0,,0,0,0,3,,0,0,0,,5.2
Doug Martin,,NYJ,W 15-10,,0/0,0,0,0,,20,51,0,,0,0,0,2,,0,0,0,,5.1
Patrick DiMarco,,NO,L 10-47,,0/0,0,0,0,,1,0,0,,3,21,0,3,,0,0,0,,5.1
