Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
Bryce Treggs WR CLE (9),,@CINL 16-30 ,0,,0,0,0,,0,1,0,0,,0,0,0,,0%
Jehu Chesson WR KC (10),,BUFL 10-16 ,0,,0,0,0,,0,0,0,0,,0,0,0,,1%
Chad Hansen WR NYJ (11),,CARL 27-35 ,0,,0,0,0,,0,1,0,0,,0,0,0,,2%
QJosh Malone WR CIN (6),,CLEW 30-16 ,0,,0,0,0,,0,1,0,0,,0,0,0,,2%
Travis Rudolph WR NYG (8),,@WASL 10-20 ,0,,0,0,0,,0,2,0,0,,0,0,0,,0%
Justin Hardee WR NO (5),,@LAL 20-26 ,0,,0,0,0,,0,0,0,0,,0,0,0,,0%
Pharoh Cooper WR LA (8),,NOW 26-20 ,-0.1,,0,0,0,,1,2,9,0,,1,0,178,,4%
Ryan Switzer WR DAL (6),,LACL 6-28 ,-0.4,,1,-4,0,,0,0,0,0,,0,0,98,,4%
Brandon Tate WR BUF (6),,@KCW 16-10 ,-1,,0,0,0,,0,0,0,0,,1,0,61,,1%
Chris Thompson WR HOU (7),,@BALL 16-23 ,-1,,0,0,0,,0,0,0,0,,1,0,47,,0%
JoJo Natson WR NYJ (11),,CARL 27-35 ,-1.1,,0,0,0,,1,1,-1,0,,1,0,58,,0%
Jaydon Mickens WR JAC (8),,@ARIL 24-27 ,-2,,0,0,0,,0,0,0,0,,1-1,0,14,,2%
