Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Taquan Mizzell RB - CHI,SF,-,-,-,-,-,-,-,-,-,-,0.00
Ty Montgomery RB - GB,TB,-,-,-,-,-,-,-,-,-,-,0.00
Raheem Mostert RB - SF,@CHI,-,-,-,-,-,-,-,-,-,-,0.00
Khalfani Muhammad RB - TEN,HOU,-,-,-,-,-,-,-,-,-,-,0.00
Marcus Murphy RB - BUF,NE,-,-,-,-,-,-,-,-,-,-,0.00
Dare Ogunbowale RB - WAS,@DAL,-,-,-,-,-,-,-,-,-,-,0.00
Branden Oliver RB - LAC,CLE,-,-,-,-,-,-,-,-,-,-,0.00
Cedric Peerman RB - CIN,PIT,-,-,-,-,-,-,-,-,-,-,0.00
Paul Perkins RB - NYG,@OAK,-,-,-,-,-,-,-,-,-,-,0.00
Senorise Perry RB - MIA,DEN,-,-,-,-,-,-,-,-,-,-,0.00
Troymaine Pope RB - HOU,@TEN,-,-,-,-,-,-,-,-,-,-,0.00
Jhurrell Pressley RB,Bye,-,-,-,-,-,-,-,-,-,-,-
C.J. Prosise RB - SEA,PHI,-,-,-,-,-,-,-,-,-,-,0.00
DJ Pumphrey RB - PHI,@SEA,-,-,-,-,-,-,-,-,-,-,0.00
Bobby Rainey RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Darrin Reaves RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Devine Redding RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Marcel Reece RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Patrick Ricard RB - BAL,DET,-,-,-,-,-,-,-,-,-,-,0.00
Daryl Richardson RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Stevan Ridley RB - PIT,@CIN,-,-,-,-,-,-,-,-,-,-,0.00
Denard Robinson RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Khiry Robinson RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Sam Rogers RB - LA,@ARI,-,-,-,-,-,-,-,-,-,-,0.00
Bishop Sankey RB - MIN,@ATL,-,-,-,-,-,-,-,-,-,-,0.00
Wendell Smallwood RB - PHI,@SEA,-,-,-,-,-,-,-,-,-,-,0.00
Antone Smith RB,Bye,-,-,-,-,-,-,-,-,-,-,-
C.J. Spiller RB - KC View News,@NYJ,-,-,-,-,-,-,-,-,-,-,0.00
Darren Sproles RB - PHI,@SEA,-,-,-,-,-,-,-,-,-,-,0.00
James Starks RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Lorenzo Taliaferro RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Kelvin Taylor RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Stepfan Taylor RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Chris Thompson RB - WAS,@DAL,-,-,-,-,-,-,-,-,-,-,0.00
Juwan Thompson RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Mike Tolbert RB - BUF,NE,-,-,-,-,-,-,-,-,-,-,0.00
Robert Turbin RB - IND,@JAX,-,-,-,-,-,-,-,-,-,-,0.00
Harvey Unga RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Daryl Virgies RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Spencer Ware RB - KC,@NYJ,-,-,-,-,-,-,-,-,-,-,0.00
Terrell Watson RB - PIT,@CIN,-,-,-,-,-,-,-,-,-,-,0.00
Charcandrick West RB - KC,@NYJ,-,-,-,-,-,-,-,-,-,-,0.00
Terrance West RB - BAL,DET,-,-,-,-,-,-,-,-,-,-,0.00
Brandon Wilds RB - JAX,IND,-,-,-,-,-,-,-,-,-,-,0.00
Damien Williams RB - MIA,DEN,-,-,-,-,-,-,-,-,-,-,0.00
DeAngelo Williams RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Jarveon Williams RB - CIN,PIT,-,-,-,-,-,-,-,-,-,-,0.00
Joe Williams RB - SF,@CHI,-,-,-,-,-,-,-,-,-,-,0.00
Karlos Williams RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Marquez Williams RB - CLE,@LAC,-,-,-,-,-,-,-,-,-,-,0.00
Brandon Wilson RB - CIN,PIT,-,-,-,-,-,-,-,-,-,-,0.00
George Winn RB - IND,@JAX,-,-,-,-,-,-,-,-,-,-,0.00
Glenn Winston RB,Bye,-,-,-,-,-,-,-,-,-,-,-
