Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Braxton Miller WR - HOU,@SEA,-,-,-,0.02,-,5.96,0.04,-,-,0.01,0.82
Tommylee Lewis WR - NO,CHI,-,-,-,0.49,0.01,4.92,0.04,-,-,0.02,0.80
Phillip Dorsett WR - NE,LAC,-,-,-,0.03,-,5.62,0.04,-,-,0.01,0.79
Austin Carr WR - NO,CHI,-,-,-,0.24,0.01,4.72,0.04,-,-,0.01,0.78
Darrius Heyward-Bey WR - PIT,@DET,-,-,-,0.26,-,4.66,0.04,-,-,-,0.73
De'Anthony Thomas WR - KC,DEN,-,-,-,0.29,-,4.78,0.04,-,0.01,0.02,0.73
Andre Roberts WR - ATL,@NYJ,-,-,-,-,-,6.13,0.03,-,-,0.04,0.71
Tanner McEvoy WR - SEA,HOU,-,-,-,0.02,-,4.66,0.04,-,-,0.01,0.69
Sammie Coates WR - CLE View News,MIN,-,-,-,0.03,-,4.82,0.03,-,-,0.01,0.65
Kasen Williams WR,Bye,-,-,-,0.01,-,4.9,0.03,-,-,0.01,-
Chad Hansen WR - NYJ,ATL,-,-,-,0.18,-,4.65,0.03,-,-,0.01,0.64
Isaiah McKenzie WR - DEN,@KC,-,-,-,0.74,-,4.17,0.02,-,-,0.01,0.59
Brian Quick WR - WAS,DAL,-,-,-,-,-,4.3,0.03,-,-,0.01,0.59
Bernard Reedy WR,Bye,-,-,-,1.7,0.01,2.48,0.02,-,0.01,0.02,-
Quan Bray WR - BUF,OAK,-,-,-,0.11,-,4.54,0.03,-,-,0.04,0.57
Cody Latimer WR - DEN,@KC,-,-,-,0.03,-,4.17,0.02,-,-,0.02,0.50
Kaelin Clay WR - CAR,@TB,-,-,-,0.14,-,3.21,0.02,-,-,0.02,0.42
Jehu Chesson WR - KC,DEN,-,-,-,0.17,-,2.34,0.02,-,-,0.01,0.35
Brandon Tate WR - BUF,OAK,-,-,-,-,-,1.95,0.02,-,0.01,0.03,0.28
Rodney Adams WR - MIN,@CLE,-,-,-,0.21,-,1.9,0.01,-,-,0.01,0.25
Chris Thompson WR - HOU,@SEA,-,-,-,0.16,-,2.02,0.01,-,-,0.02,0.24
Johnny Holton WR - OAK,@BUF,-,-,-,-,-,1.4,0.01,-,-,0.01,0.18
Matthew Slater WR - NE,LAC,-,-,-,-,-,1.11,0.01,-,-,-,0.17
Geremy Davis WR - LAC,@NE,-,-,-,-,-,1.6,-,-,-,0.01,0.14
Victor Bolden WR - SF,@PHI,-,-,-,0.19,-,1.02,-,-,-,0.03,0.06
Davante Adams WR - GB,Bye,-,-,-,-,-,-,-,-,-,-,-
Quincy Adeboyejo WR - BAL,MIA,-,-,-,-,-,-,-,-,-,-,0.00
Carlton Agudosi WR - ARI,Bye,-,-,-,-,-,-,-,-,-,-,-
Mario Alford WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Geronimo Allison WR - GB,Bye,-,-,-,-,-,-,-,-,-,-,-
Tavon Austin WR - LA,Bye,-,-,-,-,-,-,-,-,-,-,-
Donnie Avery WR,Bye,-,-,-,-,-,-,-,-,-,-,-
DeMarcus Ayers WR - CHI,@NO,-,-,-,-,-,-,-,-,-,-,0.00
Stedman Bailey WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Odell Beckham WR - NYG,Bye,-,-,-,-,-,-,-,-,-,-,-
Kenny Bell WR - BAL,MIA,-,-,-,-,-,-,-,-,-,-,0.00
Arrelious Benn WR - JAX,Bye,-,-,-,-,-,-,-,-,-,-,-
Brenton Bersin WR - CAR,@TB,-,-,-,-,-,-,-,-,-,-,0.00
Harvey Binford WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Justin Blackmon WR - JAX,Bye,-,-,-,-,-,-,-,-,-,-,-
Moritz Boehringer WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Anquan Boldin WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Josh Boyce WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Tyler Boyd WR - CIN,IND,-,-,-,-,-,-,-,-,-,-,0.00
Daniel Braverman WR - KC,DEN,-,-,-,-,-,-,-,-,-,-,0.00
Corey Brown WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Da'Ron Brown WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Jaron Brown WR - ARI View News,Bye,-,-,-,-,-,-,-,-,-,-,-
John Brown WR - ARI,Bye,-,-,-,-,-,-,-,-,-,-,-
Marlon Brown WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Noah Brown WR - DAL,@WAS,-,-,-,-,-,-,-,-,-,-,0.00
Martavis Bryant WR - PIT,@DET,-,-,-,-,-,-,-,-,-,-,0.00
Marquis Bundy WR - NYG,Bye,-,-,-,-,-,-,-,-,-,-,-
Aaron Burbridge WR - SF,@PHI,-,-,-,-,-,-,-,-,-,-,0.00
Isaiah Burse WR - LAC,@NE,-,-,-,-,-,-,-,-,-,-,0.00
Jeremy Butler WR - BUF,OAK,-,-,-,-,-,-,-,-,-,-,0.00
Damiere Byrd WR - CAR,@TB,-,-,-,-,-,-,-,-,-,-,0.00
Andre Caldwell WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Michael Campanaro WR - BAL,MIA,-,-,-,-,-,-,-,-,-,-,0.00
Michael Clark WR - GB,Bye,-,-,-,-,-,-,-,-,-,-,-
Randall Cobb WR - GB,Bye,-,-,-,-,-,-,-,-,-,-,-
Keelan Cole WR - JAX View Videos,Bye,-,-,-,-,-,-,-,-,-,-,-
Corey Coleman WR - CLE,MIN,-,-,-,-,-,-,-,-,-,-,0.00
Stacy Coley WR - MIN,@CLE,-,-,-,-,-,-,-,-,-,-,0.00
Chris Conley WR - KC,DEN,-,-,-,-,-,-,-,-,-,-,0.00
Pharoh Cooper WR - LA,Bye,-,-,-,-,-,-,-,-,-,-,-
Cody Core WR - CIN View News,IND,-,-,-,-,-,-,-,-,-,-,0.00
Victor Cruz WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Corey Davis WR - TEN View Videos,Bye,-,-,-,-,-,-,-,-,-,-,-
Robert Davis WR - WAS,DAL,-,-,-,-,-,-,-,-,-,-,0.00
Trevor Davis WR - GB,Bye,-,-,-,-,-,-,-,-,-,-,-
Eric Decker WR - TEN View News,Bye,-,-,-,-,-,-,-,-,-,-,-
Harry Douglas WR - TEN,Bye,-,-,-,-,-,-,-,-,-,-,-
Malachi Dupre WR - BUF,OAK,-,-,-,-,-,-,-,-,-,-,0.00
Travin Dural WR - NO,CHI,-,-,-,-,-,-,-,-,-,-,0.00
Donteea Dye WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Ed Eagan WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Marcus Easley WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Julian Edelman WR - NE,LAC,-,-,-,-,-,-,-,-,-,-,0.00
Quincy Enunwa WR - NYJ,ATL,-,-,-,-,-,-,-,-,-,-,0.00
Amba Etta-Tawo WR - NYG,Bye,-,-,-,-,-,-,-,-,-,-,-
Larry Fitzgerald WR - ARI View Videos,Bye,-,-,-,-,-,-,-,-,-,-,-
Isaiah Ford WR - MIA,@BAL,-,-,-,-,-,-,-,-,-,-,0.00
Corey Fuller WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Devin Fuller WR - ATL,@NYJ,-,-,-,-,-,-,-,-,-,-,0.00
Keyarris Garrett WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Shelton Gibson WR - PHI,SF,-,-,-,-,-,-,-,-,-,-,0.00
Brittan Golden WR - ARI,Bye,-,-,-,-,-,-,-,-,-,-,-
Kenny Golladay WR - DET,PIT,-,-,-,-,-,-,-,-,-,-,0.00
Josh Gordon WR - CLE,MIN,-,-,-,-,-,-,-,-,-,-,0.00
Cyril Grayson WR - SEA,HOU,-,-,-,-,-,-,-,-,-,-,0.00
Dorial Green-Beckham WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Rashad Greene WR - JAX,Bye,-,-,-,-,-,-,-,-,-,-,-
Marvin Hall WR - ATL,@NYJ,-,-,-,-,-,-,-,-,-,-,0.00
Rannell Hall WR - ATL,@NYJ,-,-,-,-,-,-,-,-,-,-,0.00
Cobi Hamilton WR - HOU,@SEA,-,-,-,-,-,-,-,-,-,-,0.00
Frankie Hammond WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Chris Harper WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Dwayne Harris WR - NYG,Bye,-,-,-,-,-,-,-,-,-,-,-
Maurice Harris WR - WAS,DAL,-,-,-,-,-,-,-,-,-,-,0.00
Keon Hatcher WR - OAK,@BUF,-,-,-,-,-,-,-,-,-,-,0.00
Andrew Hawkins WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Matt Hazel WR - CLE,MIN,-,-,-,-,-,-,-,-,-,-,0.00
Carlos Henderson WR - DEN,@KC,-,-,-,-,-,-,-,-,-,-,0.00
Javontee Herndon WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Krishawn Hogan WR - IND,@CIN,-,-,-,-,-,-,-,-,-,-,0.00
Chris Hubert WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Josh Huff WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Allen Hurns WR - JAX,Bye,-,-,-,-,-,-,-,-,-,-,-
Vincent Jackson WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Jeff Janis WR - GB,Bye,-,-,-,-,-,-,-,-,-,-,-
Darius Jennings WR - TEN,Bye,-,-,-,-,-,-,-,-,-,-,-
Charles D. Johnson WR - CAR,@TB,-,-,-,-,-,-,-,-,-,-,0.00
Steve Johnson WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Andy Jones WR - DET,PIT,-,-,-,-,-,-,-,-,-,-,0.00
Seantavius Jones WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Tavarres King WR - NYG,Bye,-,-,-,-,-,-,-,-,-,-,-
Jonathan Krause WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Cooper Kupp WR - LA View News View Videos,Bye,-,-,-,-,-,-,-,-,-,-,-
Jake Lampman WR - TB,CAR,-,-,-,-,-,-,-,-,-,-,0.00
Kenny Lawler WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Marqise Lee WR - JAX View Videos,Bye,-,-,-,-,-,-,-,-,-,-,-
Lance Lenoir WR - DAL,@WAS,-,-,-,-,-,-,-,-,-,-,0.00
Jordan Leslie WR - DEN,@KC,-,-,-,-,-,-,-,-,-,-,0.00
Dezmin Lewis WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Roger Lewis WR - NYG,Bye,-,-,-,-,-,-,-,-,-,-,-
Kolby Listenbee WR - IND,@CIN,-,-,-,-,-,-,-,-,-,-,0.00
Devin Lucien WR - TB,CAR,-,-,-,-,-,-,-,-,-,-,0.00
Marc Mariani WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Bradley Marquez WR - DET,PIT,-,-,-,-,-,-,-,-,-,-,0.00
Brandon Marshall WR - NYG,Bye,-,-,-,-,-,-,-,-,-,-,-
Jalin Marshall WR - NYJ,ATL,-,-,-,-,-,-,-,-,-,-,0.00
Freddie Martino WR - TB,CAR,-,-,-,-,-,-,-,-,-,-,0.00
Chris Matthews WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Rishard Matthews WR - TEN View Videos,Bye,-,-,-,-,-,-,-,-,-,-,-
Max McCaffrey WR - SF,@PHI,-,-,-,-,-,-,-,-,-,-,0.00
Riley McCarron WR - NE,LAC,-,-,-,-,-,-,-,-,-,-,0.00
Dexter McCluster WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Mekale McKay WR - CHI,@NO,-,-,-,-,-,-,-,-,-,-,0.00
Cameron Meredith WR - CHI,@NO,-,-,-,-,-,-,-,-,-,-,0.00
Jaydon Mickens WR - JAX,Bye,-,-,-,-,-,-,-,-,-,-,-
Malcolm Mitchell WR - NE,LAC,-,-,-,-,-,-,-,-,-,-,0.00
David Moore WR - SEA,HOU,-,-,-,-,-,-,-,-,-,-,0.00
Keith Mumphery WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Louis Murphy WR - SF,@PHI,-,-,-,-,-,-,-,-,-,-,0.00
J.J. Nelson WR - ARI View News,Bye,-,-,-,-,-,-,-,-,-,-,-
Jordy Nelson WR - GB,Bye,-,-,-,-,-,-,-,-,-,-,-
Marquez North WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Jordan Norwood WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Kevin Norwood WR,Bye,-,-,-,-,-,-,-,-,-,-,-
DeVante Parker WR - MIA,@BAL,-,-,-,-,-,-,-,-,-,-,0.00
Quinton Patton WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Jordan Payton WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Charone Peake WR - NYJ,ATL,-,-,-,-,-,-,-,-,-,-,0.00
