FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Ricardo,Louis,W (Jan 10),1.0,9,7.09,0%,219,219,0.0,0.0,0.0,0.0,0.0,0.0,6.3,3.4,41.6,0.2,0.0,0.0,0.0
JuJu,Smith-Schuster,Fantasy What Now?,1.0,9,6.68,1%,228,228,0.0,0.0,0.0,0.0,0.0,0.0,4.1,2.6,37.6,0.3,0.0,0.0,0.0
Breshad,Perriman,W (Jan 10),1.0,10,6.38,6%,240,240,0.0,0.0,0.0,0.1,0.9,0.0,4.1,2.4,36.5,0.2,0.0,0.0,0.0
Robby,Anderson,BigmouthBilly Bajema,1.0,11,5.90,20%,251,251,0.0,0.0,0.0,0.4,1.8,0.0,5.5,2.4,31.7,0.2,0.0,0.0,0.0
Jeremy,Kerley,W (Jan 10),1.0,11,5.88,2%,253,253,0.0,0.0,0.0,0.0,0.0,0.0,4.8,3.1,33.1,0.2,0.0,0.0,0.0
Braxton,Miller,W (Jan 10),1.0,7,5.83,1%,257,257,0.0,0.0,0.0,0.0,0.0,0.0,4.8,2.5,32.2,0.2,0.0,0.0,0.0
Travis,Benjamin,W (Jan 10),1.0,9,5.81,5%,258,258,0.0,0.0,0.0,0.1,0.7,0.0,4.1,2.2,35.2,0.2,0.0,0.0,0.0
Deonte,Thompson,W (Jan 10),1.0,6,5.81,1%,259,259,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.3,35.5,0.1,0.0,0.0,0.0
Russell,Shepard,W (Jan 10),1.0,11,5.59,1%,266,266,0.0,0.0,0.0,0.1,0.5,0.0,4.0,2.7,36.6,0.1,0.0,0.0,0.0
Jaron,Brown,W (Jan 10),1.0,8,5.41,4%,269,269,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.4,30.7,0.2,0.0,0.0,0.0
Kamar,Aiken,W (Jan 10),1.0,11,5.41,0%,270,270,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2.5,33.7,0.1,0.0,0.0,0.0
Laquon,Treadwell,W (Jan 10),1.0,9,5.26,1%,278,278,0.0,0.0,0.0,0.0,0.0,0.0,4.3,2.4,29.2,0.2,0.0,0.0,0.0
Bennie,Fowler,W (Jan 10),1.0,5,4.62,2%,286,286,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2.3,28.1,0.1,0.0,0.0,0.0
Alex,Erickson,W (Jan 10),1.0,6,4.58,1%,287,287,0.0,0.0,0.0,0.6,4.5,0.0,4.0,3.2,21.7,0.0,0.1,0.0,0.0
Josh,Doctson,W (Jan 10),1.0,5,4.29,6%,293,293,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.8,24.1,0.2,0.0,0.0,0.0
