PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Jerricho Cotchery,Phi,L 23-28,0/0,0,0,0,0,0,0,0,0,0,0
Wes Welker,@Jax,W 27-17,0/0,0,0,0,0,0,0,0,0,0,0
Roddy White,Mia,L 17-20,0/0,0,0,0,0,0,0,0,0,0,0
Vincent Jackson,@Ari,L 33-38,0/0,0,0,0,0,0,0,0,0,0,0
Joshua Cribbs,@Ten,L 22-36,0/0,0,0,0,0,0,0,0,0,0,0
Nate Washington,@NYJ,W 24-17,0/0,0,0,0,0,0,0,0,0,0,0
Lance Moore,Mia,L 17-20,0/0,0,0,0,0,0,0,0,0,0,0
Greg Jennings,@Atl,W 20-17,0/0,0,0,0,0,0,0,0,0,0,0
Devin Hester,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Derek Hagan,Ind,W 36-22,0/0,0,0,0,0,0,0,0,0,0,0
Jason Avant,Pit,L 13-19,0/0,0,0,0,0,0,0,0,0,0,0
Brandon Marshall*,@Den,W 23-10,0/0,0,0,0,0,0,0,0,0,0,0
Marques Colston,Det,W 52-38,0/0,0,0,0,0,0,0,0,0,0,0
Miles Austin,@Car,W 28-23,0/0,0,0,0,0,0,0,0,0,0,0
Calvin Johnson,@NO,L 38-52,0/0,0,0,0,0,0,0,0,0,0,0
Dwayne Bowe,@Hou,L 17-33,0/0,0,0,0,0,0,0,0,0,0,0
Jacoby Jones,@KC,W 19-13,0/0,0,0,0,0,0,0,0,0,0,0
James Jones,@Oak,W 17-16,0/0,0,0,0,0,0,0,0,0,0,0
Eddie Royal,@Bal,W 27-24,0/0,0,0,0,0,0,0,0,0,0,0
Jerome Simpson,@Wsh,L 24-26,0/0,0,0,0,0,0,0,0,0,0,0
Harry Douglas,Ind,W 36-22,0/0,0,0,0,0,0,0,0,0,0,0
Andre Jerome Caldwell,@NO,L 38-52,0/0,0,0,0,0,0,0,0,0,0,0
Matthew Slater,@NYJ,W 24-17,0/0,0,0,0,0,0,0,0,0,0,0
Stevie Johnson,@Oak,W 17-16,0/0,0,0,0,0,0,0,0,0,0,0
Kenny Britt,@NYJ,W 24-17,0/0,0,0,0,0,0,0,0,0,0,0
Brandon Gibson,@NYJ,W 24-17,0/0,0,0,0,0,0,0,0,0,0,0
Brian Hartline,@Hou,L 17-33,0/0,0,0,0,0,0,0,0,0,0,0
Percy Harvin*,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Darrius Heyward-Bey,@KC,W 19-13,0/0,0,0,0,0,0,0,0,0,0,0
Brandon LaFell,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Jeremy Maclin*,Chi,L 24-27,0/0,0,0,0,0,0,0,0,0,0,0
Louis Murphy,@Wsh,L 24-26,0/0,0,0,0,0,0,0,0,0,0,0
Hakeem Nicks,Det,W 52-38,0/0,0,0,0,0,0,0,0,0,0,0
Jordan Norwood,NYG,L 10-23,0/0,0,0,0,0,0,0,0,0,0,0
Kevin Ogletree,@Den,W 23-10,0/0,0,0,0,0,0,0,0,0,0,0
Julian Edelman*,@NYJ,W 24-17,0/0,0,0,0,0,0,0,0,0,0,0
Dez Bryant,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Marcus Easley,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Riley Cooper,@Car,W 28-23,0/0,0,0,0,0,0,0,0,0,0,0
Marc Mariani,Ind,W 36-22,0/0,0,0,0,0,0,0,0,0,0,0
Kyle Williams,NE,L 17-24,0/0,0,0,0,0,0,0,0,0,0,0
Mike Williams,Pit,L 13-19,0/0,0,0,0,0,0,0,0,0,0,0
Seyi Ajirotutu,@Car,W 28-23,0/0,0,0,0,0,0,0,0,0,0,0
Victor Cruz,@Bal,W 27-24,0/0,0,0,0,0,0,0,0,0,0,0
Marlon Moore*,@Hou,L 17-33,0/0,0,0,0,0,0,0,0,0,0,0
Bryan Walters,LAR,L 17-27,0/0,0,0,0,0,0,0,0,0,0,0
Preston Parker,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Danario Alexander,@Oak,W 17-16,0/0,0,0,0,0,0,0,0,0,0,0
Andrew Hawkins,@Hou,L 17-33,0/0,0,0,0,0,0,0,0,0,0,0
