PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Carson Wentz*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Paxton Lynch,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Christian Hackenberg,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jacoby Brissett,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Cody Kessler,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Connor Cook,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Dak Prescott,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Cardale Jones,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Kevin Hogan,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Nate Sudfeld,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jake Rudock,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Brandon Allen,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Jeff Driskel*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Brandon Doughty,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Trevone Boykin,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Taylor Heinicke,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Stephen Morris,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Joe Callahan,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Mitchell Trubisky,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Brad Kaaya,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Chad Kelly*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Patrick Mahomes,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Joshua Dobbs,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Deshaun Watson*,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Nathan Peterman,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
C.J. Beathard,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
DeShone Kizer,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Davis Webb,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Cooper Rush,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
Taysom Hill,** BYE **,--/--,--,--,--,--,--,--,--,--,--,--
